q,predicted,key,status,x,y
1,A,C,wrong,127.0,94.0
2,C,A,wrong,236.0,131.0
3,C,C,correct,237.0,164.0
4,B,A,wrong,183.0,196.0
5,A,C,wrong,128.0,232.0
6,A,A,correct,125.0,301.0
7,D,B,wrong,290.0,335.0
8,B,C,wrong,181.0,371.0
9,B,D,wrong,181.0,406.0
10,A,A,correct,128.0,439.0
11,D,D,correct,291.0,508.0
12,A,C,wrong,127.0,543.0
13,B,B,correct,182.0,579.0
14,A,A,correct,125.0,616.0
15,C,C,correct,233.0,651.0
16,C,D,wrong,235.0,721.0
17,D,B,wrong,289.0,753.0
18,C,C,correct,235.0,787.0
19,D,B,wrong,287.0,819.0
20,A,A,correct,125.0,853.0
21,D,D,correct,581.0,97.0
22,B,B,correct,475.0,130.0
23,A,C,wrong,419.0,163.0
24,C,C,correct,526.0,199.0
25,B,B,correct,473.0,233.0
26,C,B,wrong,525.0,305.0
27,A,D,wrong,418.0,337.0
28,A,A,correct,417.0,373.0
29,C,C,correct,525.0,407.0
30,C,C,correct,525.0,440.0
31,B,B,correct,472.0,509.0
32,D,B,wrong,581.0,548.0
33,D,B,wrong,580.0,584.0
34,C,B,wrong,525.0,617.0
35,B,B,correct,470.0,650.0
36,A,C,wrong,419.0,719.0
37,C,D,wrong,526.0,753.0
38,B,B,correct,470.0,785.0
39,B,A,wrong,469.0,821.0
40,D,D,correct,579.0,856.0
41,C,A,wrong,818.0,98.0
42,D,A,wrong,872.0,133.0
43,B,A,wrong,763.0,169.0
44,C,D,wrong,818.0,200.0
45,B,B,correct,763.0,232.0
46,A,C,wrong,707.0,302.0
47,B,C,wrong,763.0,339.0
48,C,A,wrong,817.0,373.0
49,C,C,correct,815.0,410.0
50,C,B,wrong,818.0,445.0
51,D,C,wrong,871.0,511.0
52,A,A,correct,707.0,545.0
53,D,B,wrong,871.0,583.0
54,B,D,wrong,763.0,616.0
55,B,C,wrong,763.0,650.0
56,C,A,wrong,818.0,718.0
57,A,A,correct,706.0,754.0
58,C,B,wrong,814.0,785.0
59,D,D,correct,872.0,820.0
60,A,A,correct,709.0,854.0
61,C,B,wrong,1107.0,98.0
62,B,A,wrong,1055.0,134.0
63,B,B,correct,1055.0,169.0
64,A,A,correct,998.0,200.0
65,A,A,correct,1000.0,233.0
66,C,B,wrong,1109.0,305.0
67,B,A,wrong,1054.0,338.0
68,A,D,wrong,998.0,375.0
69,D,B,wrong,1161.0,411.0
70,C,C,correct,1107.0,443.0
71,C,D,wrong,1106.0,513.0
72,A,A,correct,999.0,545.0
73,C,A,wrong,1105.0,581.0
74,B,A,wrong,1052.0,616.0
75,A,B,wrong,999.0,651.0
76,B,C,wrong,1049.0,722.0
77,C,C,correct,1106.0,757.0
78,A,D,wrong,998.0,788.0
79,B,D,wrong,1052.0,820.0
80,B,D,wrong,1053.0,856.0
81,C,D,wrong,1399.0,99.0
82,C,A,wrong,1401.0,133.0
83,B,B,correct,1346.0,170.0
84,B,B,correct,1346.0,203.0
85,A,A,correct,1289.0,235.0
86,A,D,wrong,1291.0,305.0
87,D,B,wrong,1459.0,349.0
88,D,A,wrong,1454.0,373.0
89,C,D,wrong,1401.0,411.0
90,B,C,wrong,1347.0,447.0
91,A,D,wrong,1291.0,517.0
92,C,B,wrong,1396.0,549.0
93,C,C,correct,1396.0,584.0
94,D,B,wrong,1450.0,619.0
95,A,A,correct,1289.0,653.0
96,B,B,correct,1342.0,723.0
97,B,C,wrong,1343.0,758.0
98,B,A,wrong,1343.0,790.0
99,A,B,wrong,1287.0,819.0
100,B,B,correct,1342.0,859.0
