q,predicted,key,status,x,y
1,C,C,correct,238.0,97.0
2,B,A,wrong,183.0,130.0
3,A,C,wrong,128.0,165.0
4,B,A,wrong,183.0,200.0
5,C,C,correct,237.0,233.0
6,A,A,correct,128.0,302.0
7,B,B,correct,182.0,339.0
8,B,C,wrong,185.0,374.0
9,D,D,correct,290.0,407.0
10,A,A,correct,129.0,443.0
11,D,D,correct,290.0,511.0
12,A,C,wrong,127.0,545.0
13,B,B,correct,182.0,580.0
14,A,A,correct,124.0,616.0
15,D,C,wrong,290.0,652.0
16,D,D,correct,292.0,719.0
17,D,B,wrong,290.0,754.0
18,C,C,correct,236.0,785.0
19,D,B,wrong,291.0,819.0
20,A,A,correct,128.0,854.0
21,D,D,correct,583.0,97.0
22,B,B,correct,472.0,130.0
23,B,C,wrong,473.0,166.0
24,C,C,correct,529.0,201.0
25,B,B,correct,471.0,233.0
26,C,B,wrong,529.0,304.0
27,D,D,correct,581.0,341.0
28,B,A,wrong,472.0,375.0
29,C,C,correct,527.0,409.0
30,C,C,correct,526.0,445.0
31,B,B,correct,472.0,512.0
32,A,B,wrong,418.0,545.0
33,B,B,correct,472.0,583.0
34,A,B,wrong,415.0,617.0
35,A,B,wrong,418.0,650.0
36,A,C,wrong,421.0,718.0
37,C,D,wrong,526.0,753.0
38,A,B,wrong,419.0,788.0
39,A,A,correct,418.0,818.0
40,D,D,correct,581.0,855.0
41,A,A,correct,710.0,95.0
42,A,A,correct,710.0,130.0
43,A,A,correct,709.0,165.0
44,C,D,wrong,818.0,201.0
45,B,B,correct,765.0,233.0
46,C,C,correct,820.0,304.0
47,C,C,correct,819.0,339.0
48,B,A,wrong,764.0,373.0
49,C,C,correct,818.0,410.0
50,D,B,wrong,873.0,443.0
51,C,C,correct,818.0,512.0
52,B,A,wrong,763.0,547.0
53,B,B,correct,761.0,581.0
54,D,D,correct,872.0,619.0
55,B,C,wrong,764.0,652.0
56,A,A,correct,709.0,719.0
57,A,A,correct,709.0,754.0
58,C,B,wrong,817.0,787.0
59,D,D,correct,871.0,820.0
60,A,A,correct,709.0,854.0
61,B,B,correct,1053.0,98.0
62,B,A,wrong,1055.0,131.0
63,B,B,correct,1055.0,165.0
64,A,A,correct,1001.0,201.0
65,A,A,correct,1000.0,236.0
66,A,B,wrong,998.0,303.0
67,A,A,correct,1003.0,339.0
68,D,D,correct,1163.0,375.0
69,D,B,wrong,1166.0,409.0
70,C,C,correct,1107.0,443.0
71,A,D,wrong,999.0,513.0
72,A,A,correct,1000.0,548.0
73,A,A,correct,1001.0,583.0
74,D,A,wrong,1163.0,617.0
75,B,B,correct,1053.0,651.0
76,C,C,correct,1109.0,721.0
77,C,C,correct,1108.0,753.0
78,A,D,wrong,999.0,788.0
79,D,D,correct,1163.0,819.0
80,D,D,correct,1163.0,855.0
81,A,D,wrong,1292.0,98.0
82,A,A,correct,1293.0,133.0
83,B,B,correct,1346.0,167.0
84,B,B,correct,1345.0,202.0
85,C,A,wrong,1399.0,236.0
86,D,D,correct,1455.0,305.0
87,B,B,correct,1342.0,341.0
88,D,A,wrong,1454.0,375.0
89,C,D,wrong,1399.0,410.0
90,C,C,correct,1400.0,445.0
91,D,D,correct,1455.0,512.0
92,C,B,wrong,1397.0,545.0
93,C,C,correct,1397.0,583.0
94,B,B,correct,1341.0,617.0
95,A,A,correct,1291.0,653.0
96,B,B,correct,1343.0,719.0
97,C,C,correct,1399.0,755.0
98,A,A,correct,1291.0,788.0
99,B,B,correct,1342.0,818.0
100,D,B,wrong,1453.0,855.0
